"","NDC_Type_Simple","fwc_country","GtCO2_year","count_ndc_type","Country","concat"
"1","Absolute Reduction","Non-FWC",0.0722686888013452,24,NA,"Absolute Reduction_Non-FWC"
"2","BAU Reduction","FWC",0.412417782419776,22,NA,"BAU Reduction_FWC"
"3","BAU Reduction","Non-FWC",0.560631052173504,49,NA,"BAU Reduction_Non-FWC"
"4","Other","FWC",0.0942073761018347,13,NA,"Other_FWC"
"5","Other","Non-FWC",1.31125472557699,53,NA,"Other_Non-FWC"
"6","Absolute Reduction","FWC",0.0309742531373928,8,"Australia","Australia"
"7","Absolute Reduction","FWC",0.556681630946374,8,"Brazil","Brazil"
"8","Absolute Reduction","FWC",0.0380165802460777,8,"Canada","Canada"
"9","Absolute Reduction","FWC",0.0321022715132126,8,"United Kingdom","United Kingdom"
"10","Absolute Reduction","FWC",0.109462740513697,8,"United States","United States"
